,number,title,subtitle,authors,publisher,published_date,category,distribution_expense
3282,1801071039,In-Memory Analytics with Apache Arrow,Perform Fast and Efficient Data Analytics on Both Flat and Hierarchical Structured Data,Matthew Topol,Packt Publishing,2022-06-24,SQL,4.55
3283,9781790000000,Machine Learning with Scala Quick Start Guide,Leverage popular machine learning algorithms and techniques and implement them in Scala,Md. Rezaul Karim,Packt Publishing Ltd,2019-04-30,SQL,5.6
3284,9781800000000,Python Data Cleaning Cookbook,Modern techniques and Python tools to detect and remove dirty data and extract key insights,Michael Walker,Packt Publishing Ltd,2020-11-12,SQL,4.22
3285,9780130000000,The Digital Twin Paradigm for Smarter Systems and Environments: the Industry Use Cases,,Preetha Evangeline,Academic Press,2020-01-02,SQL,3.19
3286,9781260000000,Oracle R Enterprise: Harnessing the Power of R in Oracle Database,,Brendan Tierney,McGraw Hill Professional,2016-04-11,SQL,6.9
3287,9781790000000,Scala:Applied Machine Learning,,"Pascal Bugnion, Patrick R. Nicolas, Alex Kozlov",Packt Publishing Ltd,2017-02-23,SQL,7.3
3288,9780740000000,Accelerating Data Transformation with IBM DB2 Analytics Accelerator for z/OS,,"Ute Baumbach, Patric Becker, Uwe Denneler, Eberhard Hechler, Wolfgang Hengstler, Steffen Knoll",IBM Redbooks,2015-11-12,SQL,4.55
3289,9780120000000,Agile Data Warehousing for the Enterprise,A Guide for Solution Architects and Project Leaders,Ralph Hughes,Newnes,2015-09-19,SQL,5.6
3290,9789390000000,Visual Studio 2019 In Depth,"Discover and make use of the powerful features of the Visual Studio 2019 IDE to develop better and faster mobile, web, and desktop applications",Ockert J. du Preez,BPB Publications,2019-09-18,SQL,4.22
3291,9781800000000,Building Big Data Pipelines with Apache Beam,Use a single programming model for both batch and stream data processing,Jan Lukavsky,Packt Publishing Ltd,2022-01-21,SQL,3.19
3292,1789809711,Azure Databricks Cookbook,Accelerate and Scale Real-Time Analytics Solutions Using the Apache Spark-Based Analytics Service,"Phani Raj, Vinod Jaiswal",Packt Publishing,2021-09-17,SQL,6.9
3293,9781490000000,Data Science with Java,Practical Methods for Scientists and Engineers,"Michael R. Brzustowicz, PhD","""O'Reilly Media, Inc.""",2017-06-06,SQL,7.3
3294,9781480000000,Big Data SMACK,"A Guide to Apache Spark, Mesos, Akka, Cassandra, and Kafka","Raul Estrada, Isaac Ruiz",Apress,2016-09-29,SQL,4.55
3295,9781120000000,Hadoop For Dummies,,Dirk deRoos,John Wiley & Sons,2014-04-14,SQL,5.6
3296,9789360000000,Visual Studio 2022 In-Depth,Explore the Fantastic Features of Visual Studio 2022 - 2nd Edition,Ockert J. du Preez,BPB Publications,2022-09-29,SQL,4.22
3297,9780740000000,"Optimized Inferencing and Integration with AI on IBM zSystems: Introduction, Methodology, and Use Cases",,"Makenzie Manna, Erhan Mengusoglu, Artem Minin, Krishna Teja Rekapalli, Thomas Rüter, Pia Velazco",IBM Redbooks,2022-11-21,SQL,3.19
3298,9781120000000,Winning with Data,"Transform Your Culture, Empower Your People, and Shape the Future","Tomasz Tunguz, Frank Bien",John Wiley & Sons,2016-05-26,SQL,6.9
3299,9781100000000,Reliable Machine Learning,,"Cathy Chen, Niall Richard Murphy, Kranti Parisa, D. Sculley, Todd Underwood","""O'Reilly Media, Inc.""",2021-12-10,SQL,7.3
3300,9780070000000,Oracle NoSQL Database,Real-Time Big Data Management for the Enterprise,"Maqsood Alam, Aalok Muley, Chaitanya Kadaru, Ashok Joshi",McGraw Hill Professional,2013-06-12,SQL,4.55
3301,1493965735,Spatio-Temporal Data Streams,,Zdravko Galic,Springer,2016-09-24,SQL,5.6
3302,9781260000000,"Microsoft SQL Server 2019: A Beginner's Guide, Seventh Edition",,Dusan Petkovic,McGraw Hill Professional,2020-03-01,SQL,4.55
3303,9781790000000,Hands-On Machine Learning on Google Cloud Platform,Implementing smart and efficient analytics using Cloud ML Engine,"Giuseppe Ciaburro, V Kishore Ayyadevara, Alexis Perrier",Packt Publishing Ltd,2018-04-30,SQL,5.6
3304,1484265750,Getting Structured Data from the Internet,Running Web Crawlers/Scrapers on a Big Data Production Scale,Jay M. Patel,Apress,2020-12-13,SQL,4.22
3305,9780070000000,Predictive Analytics Using Oracle Data Miner,"Develop & Use Data Mining Models in ODM, SQL & PL/SQL",Brendan Tierney,McGraw Hill Professional,2014-08-08,SQL,3.19
3306,9781120000000,Data Mining for Business Analytics,"Concepts, Techniques, and Applications with JMP Pro","Galit Shmueli, Peter C. Bruce, Mia L. Stephens, Nitin R. Patel",John Wiley & Sons,2016-06-13,SQL,6.9
3307,148424334X,PySpark SQL Recipes,"With HiveQL, Dataframe and Graphframes","Raju Kumar Mishra, Sundar Rajan Raman",Apress,2019-03-19,SQL,7.3
3308,9781260000000,Machine Learning and Deep Learning Using Python and TensorFlow,,"Venkata Reddy Konasani, Shailendra Kadre",McGraw Hill Professional,2021-04-29,SQL,4.55
3309,9781490000000,Building Intelligent Cloud Applications,Develop Scalable Models Using Serverless Architectures with Azure,"John Biggs, Vicente Herrera García, Jose Luis Calvo Salanova","""O'Reilly Media, Inc.""",2019-10-09,SQL,5.6
3310,9781790000000,Fast Data Processing with Spark 2,,Krishna Sankar,Packt Publishing Ltd,2016-10-24,SQL,4.22
3311,9781260000000,"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions",,Matt Taddy,McGraw Hill Professional,2019-08-23,SQL,3.19
3312,9781790000000,Tableau: Creating Interactive Data Visualizations,,"Jen Stirrup, Ashutosh Nandeshwar, Ashley Ohmann, Matt Floyd",Packt Publishing Ltd,2016-08-31,SQL,6.9
3313,1484221427,IoT Solutions in Microsoft's Azure IoT Suite,Data Acquisition and Analysis in the Real World,Scott Klein,Apress,2017-05-13,SQL,7.3
3314,9780070000000,Oracle Big Data Handbook,,"Tom Plunkett, Brian Macdonald, Bruce Nelson, Helen Sun, Mark Hornick, Khader Mohiuddin",McGraw Hill Professional,2013-09-25,SQL,4.55
3315,9780140000000,Python for Programmers,with Big Data and Artificial Intelligence Case Studies,"Paul J. Deitel, Harvey Deitel",Prentice Hall,2019-03-15,SQL,5.6
3316,9782100000000,Big Data et Machine Learning - 3e éd.,Les concepts et les outils de la data science,"Pirmin Lemberger, Marc Batty, Médéric Morel, Jean-Luc Raffaëlli",Dunod,2019-08-14,SQL,4.22
3317,9781100000000,Learning Microsoft Power BI,,Jeremey Arnold,"""O'Reilly Media, Inc.""",2022-09-26,SQL,3.19
3318,9781790000000,TensorFlow 2.0 Quick Start Guide,Get up to speed with the newly introduced features of TensorFlow 2.0,Tony Holdroyd,Packt Publishing Ltd,2019-03-29,SQL,6.9
